S.No.,Date,Location(Local),Location(District),Loss and damage(Words),Reference,Deaths(Numbers),People Missing(Numbers),Animal deaths(Numbers),Property Loss(Numbers)
1,20-07-1970,Birahi Ganga,Chamoli,N/A,Rana et al. 2013,0,0,0,0
2,20-07-1970,Ganai,Almora,Killing 200 persons while uncounted animals were lost and damaged 33 houses completely,Joshi and Kumar 2006,200,0,0,33
3,19-07-1971,Dobata,Pithoragarh,Killed 12 people and buried 35 houses,Sajwan and Khanduri 2018,12,0,0,35
4,05-08-1978,Kanoldiya Gad,Uttarkashi,"Several villages were marooned, Maneri-Bhali HEP suffered heavily damaged and most of the shops and houses in Joshiara near Uttarkashi were swept away",Khanduri 2020,0,0,0,4
5,17-06-1979,Saikot,Chamoli,Killing 3 persons while 70 animals were lost and damaged to 50 houses,Joshi and Kumar 2006,3,0,70,50
6,17-08-1979,"Kuntha, Ukhimath",Rudraprayag,Killing 39 persons while 39 animals were lost and damaged to 20 houses,Joshi and Kumar 2006,39,0,39,20
7,17-08-1979,Sirwari,Rudraprayag,Killing 13 persons while 150 animals were lost and damaged to 34 houses,Joshi and Kumar 2006,13,0,150,34
8,25-06-1980,Gyansu Nala,Uttarkashi,24 persons were killed and washed away many houses in its vicinity,Khanduri 2020,24,0,0,5
9,31-07-1982,Mandakhal Chennil,Pauri Garhwal,Killing 3 persons while 80 animals were lost and damaged to 8 houses,Joshi and Kumar 2006,3,0,80,8
10,22-07-1983,Karmi-Kapkot,Bageshwar,"6 houses were washed away, 25 persons were missing and 20 cattle lost",Anbalagan 1996,0,20,20,6
11,01-08-1989,Thalisain,Pauri Garhwal,N/A,Khanduri et al. 2018,0,0,0,0
12,05-09-1989,Karanprayag,Chamoli,3 people died and two injured,Pandey and Vishwakarma 2020,3,0,0,0
13,01-08-1991,Mandal,Chamoli,N/A,Khanduri et al. 2018,0,0,0,0
14,16-08-1991,Dewar Khandora,Chamoli,"2 human casualties, 51 cattle lost and 4 houses perished",Joshi and Maikhuri 1997,2,0,51,4
15,26-12-1991,N/A,Uttarkashi,3 people died,Pandey and Vishwakarma 2020,3,0,0,0
16,02-09-1992,"Khankrakhet, Gadni",Chamoli,Killing 14 persons while damaging 31 houses,Joshi and Kumar 2006,14,0,0,31
17,10-07-1994,Chaukhutia,Almora,4 people died,Pandey and Vishwakarma 2020,4,0,0,0
18,13-08-1995,Bhitai Malli,Pauri Garhwal,Killing 13 persons while damaging 6 houses,Joshi and Kumar 2006,13,0,0,6
19,17-07-1996,Berinaga,Pithoragarh,Killing 18 persons while 85 animals lost,Joshi and Kumar 2006,18,0,85,0
20,26-07-1996,Raintoli,Pithoragarh,Killed 16 villagers,Sajwan and Khanduri 2018,16,0,0,0
21,02-08-1997,Near Neelkanth Mahadev Temple,Haridwar,8 People died,Pandey and Mishra 2015,8,0,0,0
22,17-08-1998,"Malpa, Alaknanda",Pithoragarh,221 people died,Sajwan and Khanduri 2018,221,0,0,0
23,19-08-1998,Okhimath,Rudraprayag,Killing 103 persons while 422 animals were lost and damaged to 820 houses,Joshi and Kumar 2006,103,0,422,820
24,16-07-2001,"Phat-Byung, Ukhimath",Rudraprayag,Killing 27 persons while 64 animals were lost and damaged to 22 houses,Khanduri 2020,27,0,64,22
25,17-07-2001,Near kunda,Rudraprayag,27 people died,Pandey and Vishwakarma 2020,27,0,0,0
26,27-07-2001,"Khetgaon, Dharchula",Pithoragarh,Killed 5 people,Sajwan and Khanduri 2018,5,0,0,0
27,11-08-2001,Phata,Rudraprayag,Killing 27 persons while 64 animals were lost and damaged to 22 houses,Joshi and Kumar 2006,27,0,64,22
28,31-08-2001,Gona,Tehri Garhwal,7 persons were killed while 12 were injured together with 7 cattle lost and 28 houses completely damaged,Khanduri 2020,7,0,7,28
29,12-07-2002,Khetgaon,Pithoragarh,Killing 4 people while 1 person missing and 20 animals were lost together with damage to 7 houses,Khanduri 2020,4,1,20,7
30,10-08-2002,Boodha Kedar,Tehri Garhwal,"28 persons were killed while 99 cattle were lost, 151 houses together with a micro-hydropower plant were damaged",Khanduri 2020,28,0,99,152
31,19-08-2002,Bhatwari,Uttarkashi,Killing 5 people while 26 animals lost,Khanduri 2020,5,0,26,0
32,15-07-2003,Didihat,Pithoragarh,4 people died,Pandey and Vishwakarma 2020,4,0,0,0
33,29-08-2003,Sarnol,Uttarkashi,207 animals were lost,Khanduri 2020,0,0,207,0
34,21-05-2004,Kapkot,Bageshwar,6 people died,Pandey and Vishwakarma 2020,6,0,0,0
35,09-06-2004,Kapkot,Bageshwar,N/A,Pandey and Vishwakarma 2020,0,0,0,0
36,06-07-2004,Alaknanda river basin,N/A,At least 17 people were killed and 28 injured when three vehicles were swept into the Alaknanda river,Pandey and Vishwakarma 2020,17,0,0,3
37,14-09-2004,Ranikhet,Almora,1 people died,Pandey and Vishwakarma 2020,1,0,0,0
38,23-09-2004,"Amparav, Kathgodam",Nainital,Killing 3 persons while 7 residential and commercial structures were destroyed in the incident and a total of 8.9 hac agricultural fields were damaged,Khanduri 2020,3,0,0,7
39,24-09-2004,Near Badrinath,Chamoli,A stretch of 200 Rishikesh-Badrinath road (NH 58) was completely damaged,Khanduri 2020,0,0,0,1
40,21-06-2005,"Teela, Thalisain",Pauri Garhwal,Killing 30 animals and 6 houses completely damaged,Khanduri 2020,0,0,30,6
41,30-06-2005,Govindghat,Chamoli,"11 people lost their lives, and more than 200 vehicles, 20 shops, Hotels, and human settlements had been washed away",Khanduri 2020,11,0,0,222
42,21-07-2005,Vijaynagar,Rudraprayag,4 human lives were lost and 14 houses were destroyed,Khanduri 2020,4,0,0,14
43,21-07-2005,"Jhuni, Kapkot",Bageshwar,Killed 1 person while 3 cattle were lost and 6 houses destroyed,Khanduri 2020,1,0,3,6
44,17-08-2005,Ramolsari,Tehri Garhwal,N/A,DMP,0,0,0,0
45,18-08-2005,"Semla tok of rathi village, dharchula",Pithoragarh,8 persons were killed while 129 animals lost,Khanduri 2020,8,0,129,0
46,27-08-2005,"Atholi village, Bhatwari",Uttarkashi,15 animals were lost and 3 cow sheds destroyed,Khanduri 2020,0,0,3,3
